Name,doi,Technique,Manufacturer,Model Number,Serial Number,Room,Status,Acquisition Date,Completion Date,Description,Capabilities,Facility,Location,Award,Faculty Contact 1,Faculty Contact 2,Technical Contact 1,Technical Contact 2,Technical Contact 3,Image
Vertical Bridgman,10.82278/0yvn-rc27,brm,,,,N129A ,A,,,"The 2DCC Vertical Bridgman Bulk Growth System is a three-zone furnace with a maximum temperature of 1250 &deg;C. The furnace bore will accept an ampoule of maximum diameter of two inches or multiple ampoules of smaller diameter. Programmatic control allows for linear translation, ampoule rotation, and data logging of growth conditions throughout each growth run.","- Three zones
- Maximum temperature of 1250 &deg;C
- Ampoule diameter up to 2 inches
- Crucible rotation
- Programmable linear translation and data logging",2DCC,Millenium Science Complex,DMR-1539916,zim1@psu.edu,,shl12@psu.edu,,,BRM1.jpeg
Mao Bridgman 2,10.82278/b160-dp29,brm,,,,,A,,,,,2DCC,ARL Freeport,,zim1@psu.edu,,shl12@psu.edu,,,
CHET,,chet,,,,N037 ,A,,,Confinement Heteroepitaxy (CHet) Furnace,"- Temperature  up to 1200 &eg;C 
- Pressure: 10<sup>-2</sup> - 700 Torr",2DCC,Millenium Science Complex,,jar403@psu.edu,,cud263@psu.edu,,,
New Chet,,chet,,,,N135 ,A,,,,,2DCC,Millenium Science Complex,DMR-1539916,jar403@psu.edu,,cud263@psu.edu,,,
Wafer-scale CHET,,chet,,,,N129 ,A,,,,,2DCC,Millenium Science Complex,DMR-1539916,jar403@psu.edu,,cud263@psu.edu,,,
Compounding Furnace 1,,melt-flux,,,,N129A ,A,,,The 2DCC compounding furnace is a single zone furnace with a maximum temperature of 1250 &deg;C that is used to compound source powders for later use in our Vertical Bridgman or one of our Chemical Vapor Transport Furnaces for bulk crystal growth. The furnace will accept an ampoule of maximum diameter of two inches or multiple ampoules of smaller diameter. This furnace tilts back and forth during compounding to improve mixing and uniformity of source materials.,"- Single zone
- Maximum temperature of 1250 &deg;C
- Ampoule diameter up to 2 inches
- Tilting of furnace to improve mixing and uniformity of source materials",2DCC,Millenium Science Complex,DMR-1539916,zim1@psu.edu,,shl12@psu.edu,,,
Box Furnace,,melt-flux,,,,N129A ,A,,,,,2DCC,Millenium Science Complex,DMR-1539916,zim1@psu.edu,,shl12@psu.edu,,,
Muffle Furnace 3,,melt-flux,,,,347,A,,,"The 2DCC currently possess six Muffle Furnaces with maximum temperatures of 1200&deg;C that are being utilized for conventional melt growth, flux growth, and solid-state reaction. One of the Muffle Furnace is placed inside the fume hood in which allows us to grow material that contains toxic elements, such as lead and arsenic. Each furnace will accept an ampoule of maximum length up to 15cm or multiple ampoules with shorter length. Programmatic control allows for multiple segment ramp and dwell temperature profiles.","- Maximum temperature of 1200&deg;C
- Ampoule length up to 15 cm
- Digital single-program, eight-segment programmable control
",2DCC,Davey Lab,DMR-1539916,zim1@psu.edu,,shl12@psu.edu,,,
Muffle Furnace 4,,melt-flux,,,,347,A,,,"The 2DCC currently possess six Muffle Furnaces with maximum temperatures of 1200&deg;C that are being utilized for conventional melt growth, flux growth, and solid-state reaction. One of the Muffle Furnace is placed inside the fume hood in which allows us to grow material that contains toxic elements, such as lead and arsenic. Each furnace will accept an ampoule of maximum length up to 15cm or multiple ampoules with shorter length. Programmatic control allows for multiple segment ramp and dwell temperature profiles.","- Maximum temperature of 1200&deg;C
- Ampoule length up to 15 cm
- Digital single-program, eight-segment programmable control
",2DCC,Davey Lab,DMR-1539916,zim1@psu.edu,,shl12@psu.edu,,,
Muffle Furnace 5,,melt-flux,,,,347,A,,,"The 2DCC currently possess six Muffle Furnaces with maximum temperatures of 1200&deg;C that are being utilized for conventional melt growth, flux growth, and solid-state reaction. One of the Muffle Furnace is placed inside the fume hood in which allows us to grow material that contains toxic elements, such as lead and arsenic. Each furnace will accept an ampoule of maximum length up to 15cm or multiple ampoules with shorter length. Programmatic control allows for multiple segment ramp and dwell temperature profiles.","- Maximum temperature of 1200&deg;C
- Ampoule length up to 15 cm
- Digital single-program, eight-segment programmable control
",2DCC,Davey Lab,DMR-1539916,zim1@psu.edu,,shl12@psu.edu,,,
